2012-10-20 10:53,Chernobyl (20 µR/h)
2012-10-20 11:20,Lelev Check Point (30 µR/h)
2012-10-20 11:34,Abandoned kindergarten (500 µR/h)
2012-10-20 11:40,Road to the Plant
2012-10-20 11:56,Dirty spot near cooling tower (5 mR/h)
2012-10-20 11:58,Inside cooling tower (600 µR/h)
2012-10-20 12:04,Dirty spot near cooling tower (5 mR/h)
2012-10-20 12:20,Fishing farm
2012-10-20 12:41,Near cooling pond (600 µR/h)
2012-10-20 13:00,Road to the Plant (800 µR/h)
2012-10-20 13:17,Admin building of CNPP (50 µR/h)
2012-10-20 13:33,Road across the Red Forest (1 mR/h)
2012-10-20 13:42,Reactor #4 sightseeing spot (1.7 mR/h)
2012-10-20 13:57,Pripyat sign (400 µR/h)
2012-10-20 14:03,Hot spot near Pripyat sign (1 mR/h)
2012-10-20 14:17,Radioactive military machines (1-5 mR/h)
2012-10-20 14:25,Dirty wheels from a truck (10 mR/h)
2012-10-20 14:40,Yanov train station (400 µR/h)
2012-10-20 15:14,Hot spots in Pripyat park (2 mR/h)
2012-10-20 15:27,Pripyat park (700 µR/h)
2012-10-20 15:43,Pripyat stadium (800 µR/h)
2012-10-20 15:55,Dirty asphalt at the stadium (2 mR/h)
2012-10-20 16:12,Radioactive grab (>20 mR/h)
2012-10-20 16:26,Abandoned fire station
2012-10-20 16:47,Inside 16th floor building
2012-10-20 16:55,Roof of the 16th floor building (400 µR/h)
2012-10-20 17:04,Streets of Pripyat (50 µR/h)
2012-10-20 17:21,Pripyat Check Point (200 µR/h)
2012-10-20 17:28,Near Pripyat (200-400 µR/h)
2012-10-20 17:33,The Bridge of Death (800 µR/h)
2012-10-20 17:46,Road to Chernobyl
2012-10-20 19:39,Hotel in Chernobyl (15 µR/h)
2012-10-21 10:07,Near Chernobyl (15 µR/h)
2012-10-21 10:17,Lelev Check Point (20 µR/h)
2012-10-21 10:33,Road across the Red Forest (900 µR/h)
2012-10-21 10:51,Pripyat (50 µR/h)
2012-10-21 10:59,Near school #3 (500 µR/h)
2012-10-21 11:10,Inside school #3 (20 µR/h)
2012-10-21 11:26,Near school #3 (500 µR/h)
2012-10-21 11:38,Near hospital #126 (500 µR/h)
2012-10-21 11:50,Hospital #126 (70 µR/h)
2012-10-21 12:01,Near Pripyat cafe (500 µR/h)
2012-10-21 12:05,Riverside station (800 µR/h)
2012-10-21 12:07,Radioactive spot (1 mR/h)
2012-10-21 12:28,Near Yupiter Plant (120 µR/h)
2012-10-21 12:37,Very radioactive thing (> 200 mR/h)
2012-10-21 13:00,Yupiter plant buildings (20 µR/h)
2012-10-21 13:18,Near Yupiter plant (250 µR/h)
2012-10-21 13:38,North Pripyat Sign (400 µR/h)
2012-10-21 14:30,Woods near Chernobyl
2012-10-21 15:08,Abandoned village (100 µR/h)
2012-10-21 15:42,Abandoned village (400 µR/h)
2012-10-21 16:00,Inside abandoned church (180 µR/h)
2012-10-21 16:05,Near abandoned church (450 µR/h)
2012-10-21 16:38,Abandoned truck station (600 µR/h)
2012-10-21 16:41,Radioactive ground near the station (1 mR/h)
2012-10-21 17:37,Bridge over Pripyat river
2012-10-21 17:44,Chernobyl (15 µR/h)
2012-10-22 08:46,Kharkov (13 µR/h)
